0.000000 1.197680  -9.31966766
0.001000 1.197680  -9.31966766
0.002000 1.197679  -9.31966766
0.003000 1.197676  -9.31966766
0.004000 1.197672  -9.31966766
0.005000 1.197666  -9.31966766
0.006000 1.197659  -9.31966766
0.007000 1.197651  -9.31966766
0.008000 1.197642  -9.31966766
0.009000 1.197631  -9.31966766
0.010000 1.197618  -9.31966766
0.011000 1.197605  -9.31966766
0.012000 1.197590  -9.31966766
0.013000 1.197573  -9.31966766
0.014000 1.197555  -9.31966766
0.015000 1.197536  -9.31966766
0.016000 1.197516  -9.31966766
0.017000 1.197494  -9.31966766
0.018000 1.197470  -9.31966766
0.019000 1.197446  -9.31966766
0.020000 1.197420  -9.31966766
0.021000 1.197392  -9.31966766
0.022000 1.197364  -9.31966766
0.023000 1.197334  -9.31966766
0.024000 1.197302  -9.31966766
0.025000 1.197269  -9.31966766
0.026000 1.197235  -9.31966766
0.027000 1.197199  -9.31966766
0.028000 1.197162  -9.31966766
0.029000 1.197124  -9.31966766
0.030000 1.197084  -9.31966766
0.031000 1.197043  -9.31966766
0.032000 1.197001  -9.31966766
0.033000 1.196957  -9.31966766
0.034000 1.196912  -9.31966766
0.035000 1.196866  -9.31966766
0.036000 1.196818  -9.31966766
0.037000 1.196768  -9.31966766
0.038000 1.196718  -9.31966766
0.039000 1.196666  -9.31966766
0.040000 1.196613  -9.31966766
0.041000 1.196558  -9.31966766
0.042000 1.196502  -9.31966766
0.043000 1.196444  -9.31966766
0.044000 1.196386  -9.31966766
0.045000 1.196326  -9.31966766
0.046000 1.196264  -9.31966766
0.047000 1.196201  -9.31966766
0.048000 1.196137  -9.31966766
0.049000 1.196072  -9.31966766
0.050000 1.196005  -9.31966766
0.051000 1.195936  -9.31966766
0.052000 1.195867  -9.31966766
0.053000 1.195796  -9.31966766
0.054000 1.195723  -9.31966766
0.055000 1.195650  -9.31966766
0.056000 1.195575  -9.31966766
0.057000 1.195498  -9.31966766
0.058000 1.195421  -9.31966766
0.059000 1.195341  -9.31966766
0.060000 1.195261  -9.31966766
0.061000 1.195179  -9.31966766
0.062000 1.195096  -9.31966766
0.063000 1.195012  -9.31966766
0.064000 1.194926  -9.31966766
0.065000 1.194839  -9.31966766
0.066000 1.194750  -9.31966766
0.067000 1.194660  -9.31966766
0.068000 1.194569  -9.31966766
0.069000 1.194476  -9.31966766
0.070000 1.194383  -9.31966766
0.071000 1.194287  -9.31966766
0.072000 1.194191  -9.31966766
0.073000 1.194093  -9.31966766
0.074000 1.193993  -9.31966766
0.075000 1.193893  -9.31966766
0.076000 1.193791  -9.31966766
0.077000 1.193688  -9.31966766
0.078000 1.193583  -9.31966766
0.079000 1.193477  -9.31966766
0.080000 1.193370  -9.31966766
0.081000 1.193261  -9.31966766
0.082000 1.193151  -9.31966766
0.083000 1.193040  -9.31966766
0.084000 1.192927  -9.31966766
0.085000 1.192813  -9.31966766
0.086000 1.192698  -9.31966766
0.087000 1.192581  -9.31966766
0.088000 1.192464  -9.31966766
0.089000 1.192344  -9.31966766
0.090000 1.192224  -9.31966766
0.091000 1.192102  -9.31966766
0.092000 1.191979  -9.31966766
0.093000 1.191854  -9.31966766
0.094000 1.191728  -9.31966766
0.095000 1.191601  -9.31966766
0.096000 1.191472  -9.31966766
0.097000 1.191343  -9.31966766
0.098000 1.191211  -9.31966766
0.099000 1.191079  -9.31966766
0.100000 1.190945  -9.31966766
0.101000 1.190810  -9.31966766
0.102000 1.190674  -9.31966766
0.103000 1.190536  -9.31966766
0.104000 1.190397  -9.31966766
0.105000 1.190257  -9.31966766
0.106000 1.190115  -9.31966766
0.107000 1.189972  -9.31966766
0.108000 1.189828  -9.31966766
0.109000 1.189682  -9.31966766
0.110000 1.189536  -9.31966766
0.111000 1.189387  -9.31966766
0.112000 1.189238  -9.31966766
0.113000 1.189087  -9.31966766
0.114000 1.188935  -9.31966766
0.115000 1.188782  -9.31966766
0.116000 1.188627  -9.31966766
0.117000 1.188471  -9.31966766
0.118000 1.188314  -9.31966766
0.119000 1.188156  -9.31966766
0.120000 1.187996  -9.31966766
0.121000 1.187835  -9.31966766
0.122000 1.187673  -9.31966766
0.123000 1.187509  -9.31966766
0.124000 1.187344  -9.31966766
0.125000 1.187178  -9.31966766
0.126000 1.187010  -9.31966766
0.127000 1.186842  -9.31966766
0.128000 1.186672  -9.31966766
0.129000 1.186500  -9.31966766
0.130000 1.186328  -9.31966766
0.131000 1.186154  -9.31966766
0.132000 1.185979  -9.31966766
0.133000 1.185802  -9.31966766
0.134000 1.185625  -9.31966766
0.135000 1.185446  -9.31966766
0.136000 1.185266  -9.31966766
0.137000 1.185084  -9.31966766
0.138000 1.184902  -9.31966766
0.139000 1.184718  -9.31966766
0.140000 1.184532  -9.31966766
0.141000 1.184346  -9.31966766
0.142000 1.184158  -9.31966766
0.143000 1.183969  -9.31966766
0.144000 1.183779  -9.31966766
0.145000 1.183588  -9.31966766
0.146000 1.183395  -9.31966766
0.147000 1.183201  -9.31966766
0.148000 1.183006  -9.31966766
0.149000 1.182810  -9.31966766
0.150000 1.182612  -9.31966766
0.151000 1.182413  -9.31966766
0.152000 1.182213  -9.31966766
0.153000 1.182012  -9.31966766
0.154000 1.181809  -9.31966766
0.155000 1.181605  -9.31966766
0.156000 1.181400  -9.31966766
0.157000 1.181194  -9.31966766
0.158000 1.180986  -9.31966766
0.159000 1.180778  -9.31966766
0.160000 1.180568  -9.31966766
0.161000 1.180357  -9.31966766
0.162000 1.180144  -9.31966766
0.163000 1.179931  -9.31966766
